fighter_id,name,height,weight,reach,age,image_path,stance_orthodox,stance_southpaw,weight_class_featherweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_unknown,weight_class_welterweight
184,Mackenzie Dern,4.11,52.2,4.32,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
185,Alessio Di Chirico,4.62,83.9,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
186,Marc Diakiese,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
187,Tyler Diamond,4.32,65.8,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
188,Hacran Dias,4.37,70.3,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
189,Adrian Diaz,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
190,Nate Diaz,4.62,77.1,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
191,Nick Diaz,4.62,83.9,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
192,TJ Dillashaw,4.24,61.2,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
193,Rico DiSciullo,8.69,31.3,9.12,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
194,Russell Doane,4.32,61.2,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
195,Drew Dober,4.37,77.1,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
196,Shana Dobson,4.24,56.7,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
197,John Dodson,4.06,61.2,4.26,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
198,CB Dollaway,4.75,83.9,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
199,Rafael Dos Anjos,4.37,77.1,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
200,Junior Dos Santos,4.9,108.0,5.15,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
201,Todd Duffee,4.83,117.9,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
202,Joe Duffy,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
203,Evan Dunham,4.5,70.3,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
204,Tom Duquesnoy,4.32,61.2,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
205,Merab Dvalishvili,4.24,61.2,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
