fighter_id,name,height,weight,reach,stance,age,weight_class,image_path
123,Tim Caron,4.7,83.9,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
124,Johnny Case,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
125,Cortney Casey,4.32,52.2,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
126,John Castaneda,4.32,61.2,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
127,Magnus Cedenblad,4.83,83.9,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
128,Henry Cejudo,4.11,56.7,4.32,orthodox,30,unknown,static/images/default_fighter.jpg
129,Donald Cerrone,4.7,77.1,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
130,Luan Chagas,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
131,Alex Chambers,4.06,52.2,4.26,orthodox,30,unknown,static/images/default_fighter.jpg
132,Gabriel Checco,4.7,83.9,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
133,Mark Cherico,4.32,65.8,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
134,Michael Chiesa,4.7,70.3,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
135,Giga Chikadze,4.62,65.8,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
136,Dooho Choi,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
137,Katlyn Chookagian,4.44,56.7,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
138,Joachim Christensen,4.83,93.0,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
139,Misha Cirkunov,4.83,93.0,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
140,Devin Clark,4.62,93.0,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
141,Heather Jo Clark,4.24,52.2,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
142,Jessica-Rose Clark,4.19,56.7,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
143,Mitch Clarke,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
144,Jamie Colleen,4.06,52.2,4.26,orthodox,30,unknown,static/images/default_fighter.jpg
145,Jake Collier,4.83,93.0,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
146,Christian Colombo,4.95,120.2,5.2,orthodox,30,unknown,static/images/default_fighter.jpg
147,Carlos Condit,4.75,77.1,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
148,Amanda Cooper,4.06,52.2,4.26,orthodox,30,unknown,static/images/default_fighter.jpg
149,Michael Cora,4.57,77.1,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
150,Daniel Cormier,4.57,106.6,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
151,Bethe Correia,4.19,61.2,4.4,orthodox,30,unknown,static/images/default_fighter.jpg
152,Paulo Costa,4.7,83.9,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
153,Oscar Cota,4.75,92.1,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
154,Rashad Coulter,4.57,111.1,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
155,Colby Covington,4.57,77.1,4.8,orthodox,30,unknown,static/images/default_fighter.jpg
156,Nathan Coy,4.5,77.1,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
157,Paul Craig,4.9,93.0,5.15,orthodox,30,unknown,static/images/default_fighter.jpg
158,Allen Crowder,4.83,111.1,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
159,Jim Crute,4.75,93.0,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
160,Dominick Cruz,4.37,61.2,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
161,Jay Cucciniello,4.32,65.8,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
162,Zak Cummings,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
163,Patrick Cummins,4.75,93.0,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
164,Alton Cunningham,4.75,83.9,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
165,Chris Curtis,4.5,77.1,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
166,Ion Cutelaba,4.7,93.0,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
167,Cris Cyborg,4.37,65.8,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
168,Henrique da Silva,4.83,93.0,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
169,Cindy Dandois,4.32,61.2,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
170,Jarjis Danho,4.75,120.2,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
171,Beneil Dariush,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
172,Alexis Davis,4.24,56.7,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
